Date,Open,High,Low,Close,Adj Close,Volume
2014-04-13,null,null,null,null,null,null
2014-04-20,144.300003,144.300003,138.300003,139.100006,121.556061,19216094
2014-04-27,138.100006,142.399994,136.100006,140.500000,124.260628,22009718
2014-05-04,140.000000,141.000000,136.000000,139.500000,123.376205,16632409
2014-05-11,140.600006,144.300003,139.000000,141.199997,124.879707,20872763
2014-05-18,141.300003,142.000000,138.100006,140.399994,124.172165,16243239
2014-05-25,141.000000,145.899994,140.199997,144.300003,127.621391,27692836
2014-06-01,144.300003,147.800003,144.300003,144.899994,128.152039,17914399
2014-06-08,145.600006,147.600006,145.100006,146.300003,129.390244,16720685
2014-06-15,146.199997,147.500000,144.300003,144.500000,127.798256,18926225
2014-06-22,145.000000,146.000000,142.199997,143.899994,127.267639,19352769
2014-06-29,144.500000,150.500000,142.100006,149.500000,132.220352,22022329
2014-07-06,149.699997,156.000000,148.899994,152.500000,134.873611,32079510
2014-07-13,152.699997,154.899994,151.300003,154.000000,136.200226,15870951
2014-07-20,154.000000,164.000000,152.699997,163.399994,144.513779,42253539
2014-07-27,163.399994,176.899994,163.300003,171.000000,151.235352,74210947
2014-08-03,172.399994,179.800003,171.500000,176.699997,156.276520,40185300
2014-08-10,178.600006,184.300003,177.199997,183.100006,161.936798,34870250
2014-08-17,183.500000,185.000000,181.699997,183.699997,162.467438,27879660
2014-08-24,183.899994,184.399994,170.000000,178.100006,159.092712,45298142
2014-08-31,177.800003,184.800003,174.100006,181.699997,162.308502,35552869
2014-09-07,182.000000,182.500000,177.399994,179.199997,160.075287,20361098
2014-09-14,178.000000,180.300003,173.899994,178.500000,159.450027,26680982
2014-09-21,176.899994,178.800003,173.699997,175.300003,156.591522,25750100
2014-09-28,171.000000,172.199997,162.000000,169.899994,151.767807,53026380
2014-10-05,171.600006,176.300003,169.600006,169.899994,151.767807,37515752
2014-10-12,169.000000,175.399994,167.000000,173.699997,155.162262,35272750
2014-10-19,174.399994,175.399994,172.000000,174.399994,155.787567,19854213
2014-10-26,168.500000,172.699997,165.600006,171.899994,153.554367,46644527
2014-11-02,173.000000,180.000000,170.800003,175.600006,156.859512,31646204
2014-11-09,184.000000,188.800003,180.800003,186.399994,166.506882,60984088
2014-11-16,189.000000,189.000000,162.000000,167.100006,149.266647,92867973
2014-11-23,170.399994,171.300003,165.399994,168.899994,150.874542,36913061
2014-11-30,167.100006,179.800003,165.800003,178.000000,159.003357,49455391
2014-12-07,178.800003,184.100006,174.899994,175.100006,156.412872,51661274
2014-12-14,173.000000,174.199997,168.100006,170.699997,152.482452,26161658
2014-12-21,171.300003,172.500000,170.399994,171.300003,153.018433,7863021
2014-12-28,173.500000,175.000000,170.600006,173.000000,154.536987,13209681
2015-01-04,173.500000,180.899994,172.199997,177.000000,158.110092,36187227
2015-01-11,178.300003,179.899994,176.399994,177.399994,158.467407,20311239
2015-01-18,177.000000,179.699997,173.600006,179.300003,160.164612,25663098
2015-01-25,179.399994,182.000000,177.899994,178.600006,159.539337,25237667
2015-02-01,178.600006,180.000000,176.500000,177.699997,158.735382,13839879
2015-02-08,177.000000,177.600006,174.100006,176.300003,157.484818,14747788
2015-02-15,177.000000,178.199997,176.500000,177.100006,158.199432,4786225
2015-02-22,178.600006,180.899994,176.000000,179.000000,159.896652,17219507
2015-03-01,179.500000,179.899994,175.699997,176.100006,157.306137,17453181
2015-03-08,175.000000,177.100006,174.500000,175.100006,156.412872,11980651
2015-03-15,175.000000,177.600006,174.100006,176.899994,158.020752,12306071
2015-03-22,177.899994,182.600006,177.800003,178.800003,159.717987,27525329
2015-03-29,181.000000,199.199997,180.699997,196.000000,175.082367,85998471
2015-04-05,196.000000,250.000000,196.000000,249.000000,222.426056,122820942
2015-04-12,251.000000,300.000000,250.399994,283.600006,253.333466,176568936
2015-04-19,288.000000,305.600006,267.799988,296.000000,264.410095,107979269
2015-04-26,297.200012,303.000000,292.000000,296.600006,264.946045,45252627
2015-05-03,297.000000,299.799988,278.600006,283.799988,253.512054,62862013
2015-05-10,287.000000,292.000000,274.399994,289.600006,260.582062,60251807
2015-05-17,286.000000,294.600006,283.000000,293.600006,264.181244,40852382
2015-05-24,293.600006,311.399994,291.399994,298.399994,268.500244,67268939
2015-05-31,297.799988,303.200012,291.000000,292.000000,262.741577,38584589
2015-06-07,295.000000,298.000000,282.399994,296.600006,266.880615,40568223
2015-06-14,291.799988,293.600006,281.399994,283.200012,254.823349,39041489
2015-06-21,283.600006,288.799988,280.200012,284.200012,255.723099,30501187
2015-06-28,281.799988,283.600006,256.600006,259.799988,233.767975,82530227
2015-07-05,261.000000,261.799988,196.000000,239.199997,215.232132,200980865
2015-07-12,240.000000,241.000000,225.000000,234.600006,211.093063,46205106
2015-07-19,235.000000,236.800003,218.800003,220.000000,197.955963,31219119
2015-07-26,216.399994,218.800003,205.399994,210.199997,189.137924,44540189
2015-08-02,209.000000,212.600006,203.600006,212.199997,190.937531,22923854
2015-08-09,210.000000,224.000000,203.600006,207.800003,186.978409,40537679
2015-08-16,208.199997,208.399994,188.000000,191.899994,172.671570,43858688
2015-08-23,181.000000,189.899994,174.000000,183.899994,165.473190,79463420
2015-08-30,183.000000,185.000000,175.699997,175.899994,161.056900,26012832
2015-09-06,175.000000,190.699997,174.300003,186.300003,170.579346,37246849
2015-09-13,186.899994,190.300003,181.500000,187.500000,171.678070,28600577
2015-09-20,185.500000,189.100006,180.000000,181.600006,166.275955,21850566
2015-09-27,181.600006,184.899994,175.000000,184.399994,168.839676,23768393
2015-10-04,188.199997,199.000000,185.100006,193.800003,177.446442,37460840
2015-10-11,195.199997,210.800003,194.300003,206.399994,188.983231,39310895
2015-10-18,207.000000,208.600006,200.199997,205.399994,188.067612,17629419
2015-10-25,207.000000,207.000000,202.199997,203.800003,186.602631,18344450
2015-11-01,201.000000,218.000000,198.500000,212.399994,194.476913,51563949
2015-11-08,211.000000,219.399994,208.199997,210.399994,192.645706,33206786
2015-11-15,206.000000,212.399994,205.000000,210.800003,193.011932,17349365
2015-11-22,210.600006,214.199997,203.399994,203.800003,186.602631,22248437
2015-11-29,202.800003,208.399994,200.000000,206.000000,188.616974,23666670
2015-12-06,208.000000,209.000000,193.199997,194.199997,177.812698,29013118
2015-12-13,189.399994,202.199997,189.000000,198.899994,182.116104,20929155
2015-12-20,198.600006,203.600006,198.000000,203.199997,186.053268,9655468
2015-12-27,203.000000,203.199997,198.000000,198.500000,181.749878,8473485
2016-01-03,197.600006,198.699997,183.100006,186.500000,170.762466,34545266
2016-01-10,181.500000,184.399994,174.800003,175.399994,160.599121,30574561
2016-01-17,173.600006,177.199997,160.100006,166.100006,152.083893,56621190
2016-01-24,168.800003,170.899994,160.100006,170.300003,155.929474,39773797
2016-01-31,170.000000,170.199997,163.300003,167.000000,152.907959,21214457
2016-02-07,167.000000,167.000000,161.199997,163.000000,149.245483,10031869
2016-02-14,166.100006,172.500000,165.500000,171.199997,156.753555,23750839
2016-02-21,172.300003,174.899994,167.699997,173.300003,158.676315,19137474
2016-02-28,173.000000,176.699997,167.000000,175.000000,160.232880,32510538
2016-03-06,175.000000,176.699997,169.500000,172.800003,158.218536,21155386
2016-03-13,174.000000,176.600006,172.100006,175.600006,160.782257,22711508
2016-03-20,177.000000,187.600006,176.699997,182.199997,166.825317,37094854
2016-03-27,182.199997,187.500000,180.699997,184.199997,168.656555,18324882
2016-04-03,184.199997,186.000000,181.100006,185.600006,169.938431,18136983
2016-04-10,184.600006,196.000000,184.100006,192.800003,176.530869,27277511
2016-04-17,191.000000,205.399994,190.000000,204.000000,186.785736,33357644
2016-04-24,202.199997,205.399994,195.800003,196.300003,179.735519,28023849
2016-05-01,196.300003,196.300003,183.899994,184.899994,169.297485,27530684
2016-05-08,186.500000,187.500000,178.000000,179.500000,166.791718,25755346
2016-05-15,179.000000,184.600006,176.800003,178.100006,165.490860,26029690
2016-05-22,176.899994,182.399994,175.199997,182.300003,169.393509,18938927
2016-05-29,181.600006,191.399994,181.199997,190.000000,176.548340,29563287
2016-06-05,190.100006,194.399994,186.500000,186.899994,173.667831,22562513
2016-06-12,185.000000,185.500000,177.000000,179.199997,166.512955,29768588
2016-06-19,181.600006,187.300003,175.000000,182.699997,169.765167,34247158
2016-06-26,179.800003,188.800003,179.500000,187.600006,174.318268,27344330
2016-07-03,187.600006,188.500000,181.300003,183.600006,170.601456,19163640
2016-07-10,185.600006,190.899994,184.699997,189.800003,176.362503,20970759
2016-07-17,189.800003,194.000000,188.500000,192.399994,178.778412,16269944
2016-07-24,193.000000,194.399994,190.600006,191.500000,177.942139,16504647
2016-07-31,192.600006,194.000000,188.800003,192.600006,178.964294,11716444
2016-08-07,193.600006,199.500000,190.600006,197.100006,183.145691,32676684
2016-08-14,197.899994,203.000000,188.800003,191.199997,177.663376,52247236
2016-08-21,191.699997,192.800003,188.000000,188.600006,175.247482,14720753
2016-08-28,188.399994,191.500000,187.500000,190.800003,179.359451,16814341
2016-09-04,193.000000,213.199997,192.800003,209.600006,197.032166,64483900
2016-09-11,204.199997,206.399994,197.600006,203.600006,191.391937,36370863
2016-09-18,204.800003,211.800003,201.600006,205.000000,192.707977,32047107
2016-09-25,205.399994,207.800003,202.000000,203.800003,191.579956,19054755
2016-10-02,206.000000,209.000000,205.199997,208.800003,196.280136,15274062
2016-10-09,208.800003,210.199997,203.000000,205.399994,193.084000,16199498
2016-10-16,205.000000,207.199997,202.399994,206.600006,194.212067,10206254
2016-10-23,207.800003,208.800003,203.199997,204.000000,191.767944,15250318
2016-10-30,203.399994,207.600006,198.600006,199.699997,187.725769,19251574
2016-11-06,200.800003,207.600006,198.000000,206.199997,193.836044,32564691
2016-11-13,204.399994,205.600006,201.600006,203.000000,190.827911,16118712
2016-11-20,202.000000,205.199997,201.800003,205.000000,192.707977,13114295
2016-11-27,205.000000,207.000000,202.399994,202.800003,190.639908,20154678
2016-12-04,204.000000,204.000000,191.100006,192.699997,181.145508,33908518
2016-12-11,192.899994,193.300003,184.300003,185.100006,174.001236,26064869
2016-12-18,185.300003,185.300003,179.199997,179.899994,169.113007,18875270
2016-12-25,179.899994,184.899994,177.600006,183.199997,172.215134,13660870
2017-01-01,183.199997,186.800003,182.399994,185.399994,174.283218,11440338
2017-01-08,185.600006,189.500000,184.800003,186.500000,175.317276,13410079
2017-01-15,186.500000,188.399994,184.399994,185.500000,174.377243,11433369
2017-01-22,186.000000,188.800003,183.600006,188.699997,177.385361,14071344
2017-01-29,188.699997,188.899994,185.199997,186.399994,175.223251,7120782
2017-02-05,186.600006,199.399994,185.600006,195.800003,184.059631,34361815
2017-02-12,196.899994,204.000000,196.000000,200.199997,188.195816,38021476
2017-02-19,201.000000,203.000000,197.500000,198.000000,186.127716,20572936
2017-02-26,196.800003,198.699997,190.100006,191.399994,179.923462,24794416
2017-03-05,191.000000,193.300003,188.899994,190.100006,178.701431,13176777
2017-03-12,191.199997,198.199997,189.800003,196.500000,184.717651,23050702
2017-03-19,196.500000,200.800003,195.500000,196.399994,184.623657,21450259
2017-03-26,195.500000,197.300003,194.199997,195.600006,183.871643,15839598
2017-04-02,196.300003,197.500000,193.800003,195.899994,184.153610,10011140
2017-04-09,196.100006,196.399994,193.000000,194.199997,182.555573,9487142
2017-04-16,194.199997,195.300003,189.500000,190.800003,179.359451,13537787
2017-04-23,191.500000,195.000000,190.100006,191.600006,180.111465,14738601
2017-04-30,191.600006,193.000000,188.800003,189.300003,179.839508,10287152
2017-05-07,189.600006,198.000000,188.500000,195.500000,185.729630,28521631
2017-05-14,196.000000,198.500000,195.000000,195.699997,185.919647,19356080
2017-05-21,196.000000,198.100006,194.100006,196.000000,186.204666,17402561
2017-05-28,196.100006,205.000000,195.600006,205.000000,194.754852,28673444
2017-06-04,205.800003,208.399994,202.800003,205.399994,195.134872,28613897
2017-06-11,204.800003,204.800003,197.600006,197.600006,187.724701,20110638
2017-06-18,201.399994,203.800003,198.800003,200.600006,190.574768,21644699
2017-06-25,201.000000,205.800003,199.699997,201.800003,191.714798,20228363
2017-07-02,201.199997,205.199997,197.800003,199.399994,189.434723,20838749
2017-07-09,199.399994,210.600006,198.699997,209.800003,199.314987,39101215
2017-07-16,210.800003,223.800003,208.000000,219.199997,208.245224,52789480
2017-07-23,218.800003,223.800003,217.199997,220.600006,209.575241,35752954
2017-07-30,220.000000,233.199997,219.600006,227.600006,216.225433,47487701
2017-08-06,228.000000,232.000000,209.199997,211.199997,200.645020,62292302
2017-08-13,212.600006,215.000000,208.000000,209.600006,199.124969,29782328
2017-08-20,209.199997,215.399994,206.399994,214.000000,203.305084,22098827
2017-08-27,214.800003,217.600006,210.199997,215.000000,206.780457,28550200
2017-09-03,213.000000,214.600006,209.000000,210.000000,201.971588,19801199
2017-09-10,212.000000,214.199997,208.000000,209.199997,201.202164,20390414
2017-09-17,210.800003,222.399994,210.399994,215.399994,207.165146,37270701
2017-09-24,216.000000,216.000000,209.399994,210.000000,201.971588,18795622
2017-10-01,210.000000,218.800003,210.000000,217.199997,208.896332,15802140
2017-10-08,217.399994,224.199997,216.199997,219.600006,211.204590,34202277
2017-10-15,225.000000,230.199997,216.000000,220.199997,211.781647,52366637
2017-10-22,221.399994,224.199997,217.399994,219.199997,210.819885,19283032
