Date,Open,High,Low,Close,Adj Close,Volume
2014-04-20,22718.689453,22855.259766,22213.740234,22223.529297,22223.529297,5390944700
2014-04-27,22122.380859,22474.189453,22096.949219,22260.669922,22260.669922,5816252200
2014-05-04,22195.800781,22284.560547,21680.330078,21862.990234,21862.990234,5117050200
2014-05-11,21921.589844,22792.630859,21796.900391,22712.910156,22712.910156,7065482800
2014-05-18,22751.240234,23053.279297,22555.970703,22965.859375,22965.859375,7055955500
2014-05-25,23055.470703,23209.259766,22886.460938,23081.650391,23081.650391,7482188100
2014-06-01,23327.509766,23327.509766,22950.669922,22951.000000,22951.000000,5908868100
2014-06-08,23086.939453,23397.769531,23053.380859,23319.169922,23319.169922,7047515000
2014-06-15,23299.039063,23340.419922,23122.750000,23194.060547,23194.060547,6636049400
2014-06-22,23165.259766,23393.810547,22802.099609,23221.519531,23221.519531,7022739600
2014-06-29,23273.189453,23626.140625,22960.080078,23546.359375,23546.359375,5603097400
2014-07-06,23581.400391,23592.380859,23126.679688,23233.449219,23233.449219,5795415900
2014-07-13,23310.160156,23583.349609,23240.609375,23454.789063,23454.789063,5075919100
2014-07-20,23484.529297,24247.199219,23372.630859,24216.009766,24216.009766,8277327600
2014-07-27,24249.269531,24912.220703,24248.359375,24532.429688,24532.429688,10194089000
2014-08-03,24590.109375,24690.599609,24190.929688,24331.410156,24331.410156,6179832500
2014-08-10,24533.339844,25010.310547,24491.019531,24954.939453,24954.939453,6232063300
2014-08-17,24943.599609,25201.210938,24765.029297,25112.230469,25112.230469,6629464700
2014-08-24,25049.960938,25243.160156,24630.800781,24742.060547,24742.060547,7299624600
2014-08-31,24703.740234,25362.980469,24576.230469,25240.150391,25240.150391,9774112100
2014-09-07,25293.089844,25293.089844,24487.939453,24595.320313,24595.320313,5698434200
2014-09-14,24410.380859,24471.800781,24103.529297,24306.160156,24306.160156,7939968400
2014-09-21,24072.179688,24082.619141,23555.619141,23678.410156,23678.410156,7424485800
2014-09-28,23399.509766,23399.509766,22565.599609,23064.560547,23064.560547,6997890800
2014-10-05,23053.789063,23581.349609,22988.640625,23088.539063,23088.539063,7059868300
2014-10-12,22884.000000,23409.960938,22868.019531,23023.210938,23023.210938,7765208600
2014-10-19,23239.779297,23460.769531,22964.919922,23302.199219,23302.199219,6181816100
2014-10-26,23275.400391,24046.400391,23012.800781,23998.060547,23998.060547,8800252600
2014-11-02,24133.449219,24133.449219,23430.199219,23550.240234,23550.240234,6669248300
2014-11-09,24074.849609,24110.240234,23703.720703,24087.380859,24087.380859,10734484500
2014-11-16,24313.060547,24313.060547,23252.630859,23437.119141,23437.119141,7559449400
2014-11-23,23883.320313,24228.109375,23799.419922,23987.449219,23987.449219,12139409800
2014-11-30,23678.000000,24170.050781,23293.810547,24002.640625,24002.640625,17791161900
2014-12-07,24113.140625,24189.589844,23169.669922,23249.199219,23249.199219,14071379700
2014-12-14,22977.839844,23189.599609,22529.750000,23116.630859,23116.630859,10995408600
2014-12-21,23264.050781,23495.619141,23264.050781,23349.339844,23349.339844,5499178000
2014-12-28,23694.529297,23998.900391,23442.550781,23721.300781,23721.300781,6752194400
2015-01-04,23699.189453,24169.060547,23312.500000,23919.949219,23919.949219,11730692200
2015-01-11,24118.589844,24369.000000,23905.009766,24103.519531,24103.519531,7786825200
2015-01-18,23971.230469,24896.220703,23590.050781,24850.449219,24850.449219,10477369100
2015-01-25,24907.189453,24995.080078,24450.050781,24507.050781,24507.050781,7690751300
2015-02-01,24347.269531,25048.259766,24324.369141,24679.390625,24679.390625,8749692800
2015-02-08,24529.550781,24702.539063,24226.289063,24682.539063,24682.539063,6389760900
2015-02-15,24717.490234,24871.789063,24653.880859,24832.080078,24832.080078,2725382100
2015-02-22,24916.240234,25101.960938,24664.679688,24823.289063,24823.289063,6790921700
2015-03-01,24996.759766,24997.830078,24126.089844,24164.000000,24164.000000,8205315700
2015-03-08,23982.500000,24205.859375,23677.060547,23823.210938,23823.210938,7976588100
2015-03-15,23771.400391,24524.550781,23711.269531,24375.240234,24375.240234,7876883200
2015-03-22,24538.339844,24613.689453,24294.949219,24486.199219,24486.199219,7398044200
2015-03-29,24727.460938,25297.800781,24725.519531,25275.640625,25275.640625,8951367400
2015-04-05,25214.330078,27922.669922,25152.570313,27272.390625,27272.390625,12467212700
2015-04-12,27374.330078,28031.960938,27304.119141,27653.119141,27653.119141,18803292200
2015-04-19,27770.789063,28213.630859,26959.769531,28060.980469,28060.980469,13337905400
2015-04-26,28245.140625,28588.519531,27997.900391,28133.000000,28133.000000,10491724900
2015-05-03,28231.259766,28343.740234,27207.279297,27577.339844,27577.339844,10270284700
2015-05-10,27837.039063,27928.599609,27191.029297,27822.279297,27822.279297,8436134100
2015-05-17,27792.439453,28041.320313,27393.310547,27992.830078,27992.830078,7529492000
2015-05-24,28462.320313,28524.599609,27242.109375,27424.189453,27424.189453,10652510500
2015-05-31,27373.060547,27854.740234,27094.500000,27260.160156,27260.160156,10505693900
2015-06-07,27147.240234,27428.589844,26573.960938,27280.539063,27280.539063,10157889200
2015-06-14,27095.179688,27131.359375,26553.039063,26760.529297,26760.529297,8873575900
2015-06-21,26854.320313,27470.500000,26522.449219,26663.869141,26663.869141,9607824600
2015-06-28,26560.130859,26631.509766,25617.779297,26064.109375,26064.109375,9578410600
2015-07-05,26083.990234,26261.529297,22836.820313,24901.279297,24901.279297,19473734500
2015-07-12,24709.580078,25517.449219,24596.439453,25415.269531,25415.269531,8523761200
2015-07-19,25540.310547,25634.320313,25073.199219,25128.509766,25128.509766,5777767700
2015-07-26,24906.779297,24947.349609,24140.619141,24636.279297,24636.279297,8654429500
2015-08-02,24533.140625,24641.929688,24217.779297,24552.470703,24552.470703,5882307100
2015-08-09,24433.660156,24924.070313,23826.960938,23991.029297,23991.029297,7586570600
2015-08-16,23945.599609,24024.369141,22185.849609,22409.619141,22409.619141,9396619600
2015-08-23,21605.970703,22424.400391,20865.259766,21612.390625,21612.390625,16327225200
2015-08-30,21793.019531,21793.019531,20715.019531,20840.609375,20840.609375,9476161400
2015-09-06,20683.310547,22228.589844,20524.880859,21504.369141,21504.369141,11332203400
2015-09-13,21678.880859,22203.359375,21411.169922,21920.830078,21920.830078,9075334000
2015-09-20,21614.429688,22111.669922,20957.990234,21186.320313,21186.320313,8441146600
2015-09-27,20579.220703,21530.800781,20368.119141,21506.089844,21506.089844,6832680100
2015-10-04,21930.970703,22807.859375,21719.289063,22458.800781,22458.800781,10358704500
2015-10-11,22614.330078,23178.140625,22356.560547,23067.369141,23067.369141,8778905000
2015-10-18,23085.609375,23220.380859,22727.589844,23151.939453,23151.939453,5346074000
2015-10-25,23423.640625,23423.640625,22612.560547,22640.039063,22640.039063,7671009000
2015-11-01,22502.279297,23342.070313,22332.710938,22867.330078,22867.330078,6971347900
2015-11-08,22753.509766,22980.970703,22318.619141,22396.140625,22396.140625,8607776500
2015-11-15,21958.279297,22790.070313,21958.279297,22754.720703,22754.720703,7268029600
2015-11-22,22760.050781,22802.710938,22051.009766,22068.320313,22068.320313,6957142200
2015-11-29,21974.849609,22563.470703,21907.449219,22235.890625,22235.890625,6534402400
2015-12-06,22336.320313,22352.250000,21440.699219,21464.050781,21464.050781,7457095100
2015-12-13,21063.279297,22005.189453,21010.259766,21755.560547,21755.560547,8316089900
2015-12-20,21641.169922,22217.449219,21641.169922,22138.130859,22138.130859,3985356500
2015-12-27,22151.730469,22151.730469,21864.119141,21914.400391,21914.400391,3209974700
2016-01-03,21782.619141,21794.839844,20323.970703,20453.710938,20453.710938,9908060300
2016-01-10,19997.419922,20234.779297,19500.380859,19520.769531,19520.769531,9465090800
2016-01-17,19287.380859,19647.750000,18534.300781,19080.509766,19080.509766,11320418500
2016-01-24,19341.410156,19709.990234,18811.830078,19683.109375,19683.109375,9871820800
2016-01-31,19770.960938,19770.960938,18764.820313,19288.169922,19288.169922,8328282400
2016-02-07,18486.929688,18627.509766,18278.800781,18319.580078,18319.580078,3888255600
2016-02-14,18668.869141,19436.390625,18668.869141,19285.500000,19285.500000,8400588500
2016-02-21,19374.240234,19524.970703,18867.699219,19364.150391,19364.150391,6764625600
2016-02-28,19366.169922,20200.380859,19053.779297,20176.699219,20176.699219,8869640400
2016-03-06,20306.089844,20331.689453,19818.419922,20199.599609,20199.599609,7937664100
2016-03-13,20371.589844,20687.970703,20168.740234,20671.630859,20671.630859,7917303600
2016-03-20,20738.250000,20772.460938,20268.529297,20345.609375,20345.609375,5469799900
2016-03-27,20386.320313,20872.550781,20250.150391,20498.919922,20498.919922,6777140000
2016-04-03,20786.179688,20786.179688,20045.470703,20370.400391,20370.400391,7828650700
2016-04-10,20255.839844,21511.080078,20240.689453,21316.470703,21316.470703,8199595700
